index,State,Rank,Make/Model,Model Year,Thefts
473,Washington,4.0,Acura Integra,1994.0, 640 
474,Washington,5.0,Toyota Camry,1989.0, 602 
475,Washington,6.0,Subaru Legacy,1996.0, 599 
476,Washington,7.0,Chevrolet Pickup (Full Size),1999.0, 562 
477,Washington,8.0,Jeep Cherokee/Grand Cherokee,1994.0, 362 
478,Washington,9.0,Toyota Corolla,2010.0, 332 
479,Washington,10.0,Nissan Sentra,1997.0, 296 
480,West Virginia,1.0,Ford Pickup (Full Size),2003.0, 87 
481,West Virginia,2.0,Chevrolet Pickup (Full Size),2000.0, 76 
482,West Virginia,3.0,Jeep Cherokee/Grand Cherokee,1996.0, 36 
483,West Virginia,4.0,Dodge Pickup (Full Size),2003.0, 29 
484,West Virginia,4.0,Chevrolet Pickup (Small Size),1999.0, 29 
485,West Virginia,5.0,Chevrolet Impala,2006.0, 24 
486,West Virginia,6.0,Toyota Camry,2014.0, 20 
487,West Virginia,7.0,Ford Taurus,1995.0, 19 
488,West Virginia,8.0,GMC Pickup (Full Size),2011.0, 18 
489,West Virginia,9.0,Chevrolet Cavalier,2002.0, 17 
490,Wisconsin,1.0,Dodge Caravan,2002.0," 1,035 "
491,Wisconsin,2.0,Honda Civic,1998.0, 470 
492,Wisconsin,3.0,Honda Accord,1997.0, 450 
493,Wisconsin,4.0,Chrysler Town & Country,2002.0, 313 
494,Wisconsin,5.0,Chevrolet Impala,2007.0, 232 
495,Wisconsin,6.0,Dodge Stratus,2002.0, 209 
496,Wisconsin,7.0,Toyota Camry,2007.0, 191 
497,Wisconsin,8.0,Chevrolet Malibu,2015.0, 179 
498,Wisconsin,8.0,Dodge Intrepid,2002.0, 179 
499,Wisconsin,9.0,Honda CR-V,2000.0, 172 
500,Wyoming,1.0,Chevrolet Pickup (Full Size),2007.0, 32 
501,Wyoming,2.0,Ford Pickup (Full Size),2000.0, 29 
502,Wyoming,3.0,Dodge Pickup (Full Size),2004.0, 13 
503,Wyoming,4.0,GMC Pickup (Full Size),2007.0, 10 
504,Wyoming,4.0,Jeep Cherokee/Grand Cherokee,2000.0, 10 
505,Wyoming,5.0,Dodge Durango,2002.0, 9 
506,Wyoming,5.0,Toyota Camry,1997.0, 9 
507,Wyoming,6.0,GMC Yukon,2002.0, 8 
508,Wyoming,6.0,Honda Accord,1997.0, 8 
509,Wyoming,7.0,Chevrolet Cavalier,2003.0, 6 
510,,,,,
